0,1,2,3,4,5,6,7,8,9,10,categ_7,categ_7_1,categ_7_2,categ_7_3
1,1,0,4,0,7.0,0.0,ao,1500,8,,"['no filter', 'amplitude', 'horizontal']",no filter,amplitude,horizontal
1,1,1,4,0,21.5,0.0,aa,1500,8,,"['no filter', 'amplitude', 'axial']",no filter,amplitude,axial
1,1,2,4,0,1.95,0.0,vo,1500,8,,"['no filter', 'velocity', 'horizontal']",no filter,velocity,horizontal
1,1,3,4,0,3.8,0.0,va,1500,8,,"['no filter', 'velocity', 'axial']",no filter,velocity,axial
1,1,4,3,0,9.0,0.0,ao,1500,8,,"['no filter', 'amplitude', 'horizontal']",no filter,amplitude,horizontal
1,1,5,3,0,7.5,0.0,av,1500,8,,"['no filter', 'amplitude', 'vertical']",no filter,amplitude,vertical
1,1,6,3,0,21.5,0.0,aa,1500,8,,"['no filter', 'amplitude', 'axial']",no filter,amplitude,axial
1,1,7,3,0,2.45,0.0,vo,1500,8,,"['no filter', 'velocity', 'horizontal']",no filter,velocity,horizontal
1,1,8,3,0,1.6,0.0,vv,1500,8,,"['no filter', 'velocity', 'vertical']",no filter,velocity,vertical
1,1,9,3,0,2.7,0.0,va,1500,8,,"['no filter', 'velocity', 'axial']",no filter,velocity,axial
1,1,10,1,0,10.0,0.0,ao,1500,8,,"['no filter', 'amplitude', 'horizontal']",no filter,amplitude,horizontal
1,1,11,1,0,16.0,0.0,av,1500,8,,"['no filter', 'amplitude', 'vertical']",no filter,amplitude,vertical
1,1,12,1,0,1.6,0.0,vo,1500,8,,"['no filter', 'velocity', 'horizontal']",no filter,velocity,horizontal
1,1,13,1,0,1.8,0.0,vv,1500,8,,"['no filter', 'velocity', 'vertical']",no filter,velocity,vertical
1,1,14,2,0,21.5,0.0,ao,1500,8,,"['no filter', 'amplitude', 'horizontal']",no filter,amplitude,horizontal
1,1,15,2,0,22.0,0.0,av,1500,8,,"['no filter', 'amplitude', 'vertical']",no filter,amplitude,vertical
1,1,16,2,0,28.0,0.0,aa,1500,8,,"['no filter', 'amplitude', 'axial']",no filter,amplitude,axial
1,1,17,2,0,2.3,0.0,vo,1500,8,,"['no filter', 'velocity', 'horizontal']",no filter,velocity,horizontal
1,1,18,2,0,3.0,0.0,vv,1500,8,,"['no filter', 'velocity', 'vertical']",no filter,velocity,vertical
1,1,19,2,0,3.8,0.0,va,1500,8,,"['no filter', 'velocity', 'axial']",no filter,velocity,axial
1,1,20,1,4500,0.3,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,21,2,32000,1.2,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,22,2,34000,0.6,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,23,2,36000,0.4,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,24,3,9000,0.4,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,25,3,13500,0.6,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,26,3,15000,0.7,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,27,3,33000,1.15,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,28,3,33000,0.55,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,29,3,36000,0.9,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,30,3,1500,0.6,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,31,3,1500,0.4,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,32,3,1500,1.8,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,33,4,1500,0.5,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,34,4,1500,1.6,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,35,4,37000,1.5,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,36,4,35000,0.5,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,37,1,7500,0.55,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,38,1,9000,0.6,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,39,1,9000,0.55,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,40,1,18000,0.6,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,41,1,28000,0.3,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,42,1,1500,0.6,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,43,1,1500,1.3,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,44,2,4500,0.45,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,45,2,6000,0.5,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,46,2,6000,0.4,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,47,2,9000,0.5,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,48,2,9000,0.9,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,49,2,10500,0.4,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,50,2,13500,0.9,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,51,2,13500,1.0,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,52,2,15000,0.55,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,53,2,15000,1.1,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,54,2,3000,0.3,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,55,2,1500,1.5,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,56,2,1500,1.5,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,57,2,1500,2.0,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,58,4,13500,0.65,0.0,io,1500,8,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,59,4,13500,1.15,0.0,ia,1500,8,,"['filter', 'velocity', 'axial']",filter,velocity,axial
1,1,60,2,23000,0.6,0.0,iv,1500,8,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,61,2,1500,2.0,0.0,ma,1500,8,,ma,ma,ma,ma
1,1,0,2,0,8.5,0.0,ao,3000,12,,"['no filter', 'amplitude', 'horizontal']",no filter,amplitude,horizontal
1,1,1,2,0,12.5,0.0,aa,3000,12,,"['no filter', 'amplitude', 'axial']",no filter,amplitude,axial
1,1,2,2,0,3.8,0.0,vo,3000,12,,"['no filter', 'velocity', 'horizontal']",no filter,velocity,horizontal
1,1,3,2,0,4.4,0.0,va,3000,12,,"['no filter', 'velocity', 'axial']",no filter,velocity,axial
1,1,4,3,0,2.5,0.0,ao,3000,12,,"['no filter', 'amplitude', 'horizontal']",no filter,amplitude,horizontal
1,1,5,3,0,2.5,0.0,av,3000,12,,"['no filter', 'amplitude', 'vertical']",no filter,amplitude,vertical
1,1,6,3,0,2.8,0.0,vo,3000,12,,"['no filter', 'velocity', 'horizontal']",no filter,velocity,horizontal
1,1,7,3,0,1.5,0.0,vv,3000,12,,"['no filter', 'velocity', 'vertical']",no filter,velocity,vertical
1,1,8,1,0,5.0,0.0,ao,3000,12,,"['no filter', 'amplitude', 'horizontal']",no filter,amplitude,horizontal
1,1,9,1,0,4.5,0.0,av,3000,12,,"['no filter', 'amplitude', 'vertical']",no filter,amplitude,vertical
1,1,10,1,0,2.0,0.0,vo,3000,12,,"['no filter', 'velocity', 'horizontal']",no filter,velocity,horizontal
1,1,11,1,0,1.45,0.0,vv,3000,12,,"['no filter', 'velocity', 'vertical']",no filter,velocity,vertical
1,1,12,4,0,3.0,0.0,ao,3000,12,,"['no filter', 'amplitude', 'horizontal']",no filter,amplitude,horizontal
1,1,13,4,0,3.5,0.0,aa,3000,12,,"['no filter', 'amplitude', 'axial']",no filter,amplitude,axial
1,1,14,4,0,1.9,0.0,vo,3000,12,,"['no filter', 'velocity', 'horizontal']",no filter,velocity,horizontal
1,1,15,4,0,3.1,0.0,va,3000,12,,"['no filter', 'velocity', 'axial']",no filter,velocity,axial
1,1,16,3,46000,0.55,0.0,iv,3000,12,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,17,1,18000,0.65,0.0,io,3000,12,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,18,1,18000,0.6,0.0,iv,3000,12,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,19,1,12000,0.6,0.0,iv,3000,12,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,20,1,9000,1.3,0.0,io,3000,12,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,21,1,6000,0.9,0.0,io,3000,12,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,22,1,6000,0.5,0.0,iv,3000,12,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,23,1,3000,0.35,0.0,io,3000,12,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,24,1,3000,0.45,0.0,iv,3000,12,,"['filter', 'velocity', 'vertical']",filter,velocity,vertical
1,1,25,4,24000,0.45,0.0,io,3000,12,,"['filter', 'velocity', 'horizontal']",filter,velocity,horizontal
1,1,26,4,21000,0.85,0.0,ia,3000,12,,"['filter', 'velocity', 'axial']",filter,velocity,axial
